,Classifier,MAE,MSE,RMSE
9,LinearRegression_5,23.755645789962674,700.6033982613118,26.468913809624144
4,LinearRegression_4,23.989645426125424,724.9970146632137,26.92576859930304
14,LinearRegression_10,25.73975188139901,838.336432000315,28.95403999445181
13,LinearDiscriminant_10,27.261904761904763,1125.357142857143,33.54634321140149
3,LinearDiscriminant_4,27.11111111111111,1164.126984126984,34.11930515305058
2,"SVC(gamma=2, C=1)_4",25.142857142857142,1172.2539682539682,34.23819458227855
7,"SVC(gamma=2, C=1)_5",25.142857142857142,1172.2539682539682,34.23819458227855
12,"SVC(gamma=2, C=1)_10",25.142857142857142,1172.2539682539682,34.23819458227855
8,LinearDiscriminant_5,27.6984126984127,1192.3650793650793,34.53063971844541
0,MLPClassifier-adam_4,27.22222222222222,1368.063492063492,36.987342322252516
5,MLPClassifier-adam_5,27.349206349206348,1375.4285714285713,37.08677084121198
10,MLPClassifier-adam_10,28.07936507936508,1424.3968253968253,37.74118208796361
6,KNeighborsClassifier_5,35.51587301587302,1879.3412698412699,43.351369872718784
1,KNeighborsClassifier_4,36.45238095238095,1972.420634920635,44.41194248083093
11,KNeighborsClassifier_10,37.03968253968254,2001.2777777777778,44.73564325879061
