,Classifier,RMSE_Avg,RMSE_Max,RMSE_Min,StD,Test_RMSE
9,LinearRegression_5,26.4995741356909,32.07031607508279,21.860078616514055,2.9280182883832806,26.468913809624144
4,LinearRegression_4,26.313608060924615,32.68505726640352,22.661482717610003,2.793836771655372,26.92576859930304
14,LinearRegression_10,27.068465921451764,29.880796933997747,23.442556188589553,1.8680603350654785,28.95403999445181
13,LinearDiscriminant_10,34.95139815329714,44.86177601665388,24.423888220131406,5.352335250975177,33.54634321140149
3,LinearDiscriminant_4,36.75125411873797,51.61140224897269,25.54459464915178,6.285269749051999,34.11930515305058
2,"SVC(gamma=2, C=1)_4",38.57040071141878,45.259485775156335,27.568097504180443,4.6403003428152205,34.23819458227855
7,"SVC(gamma=2, C=1)_5",38.888191286607004,48.78146757681003,29.8496231131986,6.0098625805012675,34.23819458227855
12,"SVC(gamma=2, C=1)_10",38.87446146737249,47.88143250726077,27.469600422438276,5.187890463048459,34.23819458227855
8,LinearDiscriminant_5,36.18988959021691,47.03078499070694,29.29433212648553,5.225266195903575,34.53063971844541
0,MLPClassifier-adam_4,39.057757532034536,48.87039788536291,27.03214460795264,5.430063817683026,36.987342322252516
5,MLPClassifier-adam_5,39.04298447931798,49.916772837657646,24.283414309489427,6.675574410893466,37.08677084121198
10,MLPClassifier-adam_10,39.278381784078434,50.56158308647511,29.82845691793766,5.362622643454538,37.74118208796361
6,KNeighborsClassifier_5,42.319780880843055,49.891461140528264,32.032056312059446,5.325063417335932,43.351369872718784
1,KNeighborsClassifier_4,42.22338565120676,51.43723820039535,31.935790844162685,5.668027325403392,44.41194248083093
11,KNeighborsClassifier_10,43.394639611321836,54.52763664321733,22.08595648108115,7.368869352944875,44.73564325879061
