,Classifier,RMSE_Avg,RMSE_Max,RMSE_Min,StD,Test_RMSE
4,LinearRegression_4,15.231519719759515,18.056629155902527,13.159279973113298,1.5603597578619683,14.633944372449792
9,LinearRegression_5,15.042214906064794,21.071237360011803,10.249508445139936,2.576357237127165,14.636212134121315
14,LinearRegression_10,15.207844938992315,19.12830052093045,11.248690329394577,2.3388205805157076,14.79536674341128
10,MLPClassifier-adam_10,17.890313816938054,38.91623933797466,10.3618734335366,7.5006702611682075,14.99285544136654
0,MLPClassifier-adam_4,16.35009442610086,21.3368966322363,11.404062064849848,3.147350325640962,15.944596537076714
8,LinearDiscriminant_5,17.052036994233585,22.22611077089287,11.436322559468604,2.9747773940387607,16.10358335357062
2,"SVC(gamma=2, C=1)_4",16.456465182582892,23.033156878497433,11.318359561256868,2.7760549826211425,16.1301748187222
5,MLPClassifier-adam_5,16.46597459222096,21.837919700422596,9.864876556434156,3.1537569426737884,16.1301748187222
7,"SVC(gamma=2, C=1)_5",16.304524833941883,22.28877461154405,10.219806477837261,3.5475335825232306,16.1301748187222
12,"SVC(gamma=2, C=1)_10",16.441513707377162,22.781571499789035,12.40331025424898,2.851191042084213,16.1301748187222
3,LinearDiscriminant_4,16.6206856206847,20.862961388420793,10.555617112778341,2.9680046410889047,16.211890599970037
13,LinearDiscriminant_10,17.024926893660744,23.617567056837384,11.130801266849806,2.9779313348011436,17.767680664354483
11,KNeighborsClassifier_10,21.930094920477863,27.14580514263862,16.077935190813527,3.1165966130750644,21.93478790950395
6,KNeighborsClassifier_5,22.156535328581665,26.673464045948858,18.77848713148555,2.676330736382284,21.97401062294143
1,KNeighborsClassifier_4,21.714217025159254,29.440394734195788,14.857215153091886,3.914848662613913,23.387691784015946
