,Classifier,MAE,MSE,RMSE
4,LinearRegression_4,11.974744222742288,214.1523278959549,14.633944372449792
9,LinearRegression_5,11.90075738473087,214.21870563500005,14.636212134121315
14,LinearRegression_10,11.985056172588894,218.90287707204052,14.79536674341128
10,MLPClassifier-adam_10,12.5,224.78571428571428,14.99285544136654
0,MLPClassifier-adam_4,11.658730158730158,254.23015873015873,15.944596537076714
8,LinearDiscriminant_5,12.23015873015873,259.3253968253968,16.10358335357062
2,"SVC(gamma=2, C=1)_4",11.817460317460318,260.1825396825397,16.1301748187222
5,MLPClassifier-adam_5,11.976190476190476,260.1825396825397,16.1301748187222
7,"SVC(gamma=2, C=1)_5",11.817460317460318,260.1825396825397,16.1301748187222
12,"SVC(gamma=2, C=1)_10",11.817460317460318,260.1825396825397,16.1301748187222
3,LinearDiscriminant_4,12.222222222222221,262.8253968253968,16.211890599970037
13,LinearDiscriminant_10,13.976190476190476,315.6904761904762,17.767680664354483
11,KNeighborsClassifier_10,17.658730158730158,481.13492063492066,21.93478790950395
6,KNeighborsClassifier_5,17.761904761904763,482.85714285714283,21.97401062294143
1,KNeighborsClassifier_4,18.666666666666668,546.984126984127,23.387691784015946
