,Classifier,RMSE_Avg,RMSE_Max,RMSE_Min,StD,Test_RMSE
9,LinearRegression_5,26.352319294590405,34.420285801255346,20.52725509917811,3.5849132944362285,26.468913809624144
4,LinearRegression_4,26.43228581544821,30.19895729833383,22.887938999295535,2.2219895945802484,26.92576859930304
14,LinearRegression_10,26.916473218717474,34.626900734122614,21.568022532180795,3.044721579766498,28.95403999445181
13,LinearDiscriminant_10,35.397381186074945,45.62951491719967,25.476511369866703,5.0207444605356475,33.54634321140149
3,LinearDiscriminant_4,37.08324599604303,44.16446535394717,20.27443295332689,5.301959401263172,34.11930515305058
2,"SVC(gamma=2, C=1)_4",38.8052171480145,48.13249258146999,22.15258093553126,6.411795108846175,34.23819458227855
7,"SVC(gamma=2, C=1)_5",38.701610898993636,49.38303565523606,28.49099580754002,5.135491783811014,34.23819458227855
12,"SVC(gamma=2, C=1)_10",38.491404375811776,47.23959088908816,20.208127598880395,6.169150980400767,34.23819458227855
8,LinearDiscriminant_5,36.44125458575953,43.78355855797927,28.234916793144432,4.891232400078669,34.53063971844541
0,MLPClassifier-adam_4,39.112801401611485,52.89711961116498,31.120309834745,5.320016890418902,36.987342322252516
5,MLPClassifier-adam_5,39.229726408124236,50.99329161246295,28.547283030457603,5.429851359725323,37.08677084121198
10,MLPClassifier-adam_10,39.362237263072686,48.83376743714602,24.704570214308205,5.402706409666188,37.74118208796361
6,KNeighborsClassifier_5,42.22255766047944,54.27027877111686,33.2665998663324,6.028740954796024,43.351369872718784
1,KNeighborsClassifier_4,42.20858201678399,56.14876855752329,35.911440780722906,5.1605425275927175,44.41194248083093
11,KNeighborsClassifier_10,43.02827977936149,53.64356046113427,33.40894932105531,5.329800773861816,44.73564325879061
