Genre,Rating,UserRating,motion_image_high,motion_image_low,blink_rate,lean_forward,lean_backward,head_rotation,eye_rotation,Happiness_Avg,Happiness_Std,Happiness_25P,Happiness_75P,Happiness_Peaks,Happiness_0,Happiness_25,Happiness_50,Happiness_75,Sadness_Avg,Sadness_Std,Sadness_25P,Sadness_75P,Sadness_Peaks,Sadness_0,Sadness_25,Sadness_50,Sadness_75,Surprise_Avg,Surprise_Std,Surprise_25P,Surprise_75P,Surprise_Peaks,Surprise_0,Surprise_25,Surprise_50,Surprise_75,Fear_Avg,Fear_Std,Fear_25P,Fear_75P,Fear_Peaks,Fear_0,Fear_25,Fear_50,Fear_75,Anger_Avg,Anger_Std,Anger_25P,Anger_75P,Anger_Peaks,Anger_0,Anger_25,Anger_50,Anger_75,Disgust_Avg,Disgust_Std,Disgust_25P,Disgust_75P,Disgust_Peaks,Disgust_0,Disgust_25,Disgust_50,Disgust_75,Contempt_Avg,Contempt_Std,Contempt_25P,Contempt_75P,Contempt_Peaks,Contempt_0,Contempt_25,Contempt_50,Contempt_75,Blink_Avg,Blink_Std,Blink_25P,Blink_75P,Blink_Peaks,Blink_0,Blink_25,Blink_50,Blink_75,HeadPose_X_Avg,HeadPose_X_Std,HeadPose_X_25P,HeadPose_X_75P,HeadPose_X_Peaks,HeadPose_X_0,HeadPose_X_25,HeadPose_X_50,HeadPose_X_75,HeadRotation_X_Avg,HeadRotation_X_Std,HeadRotation_X_25P,HeadRotation_X_75P,HeadRotation_X_Peaks,HeadRotation_X_0,HeadRotation_X_25,HeadRotation_X_50,HeadRotation_X_75,EyeAngel_X_Avg,EyeAngel_X_Std,EyeAngel_X_25P,EyeAngel_X_75P,EyeAngel_X_Peaks,EyeAngel_X_0,EyeAngel_X_25,EyeAngel_X_50,EyeAngel_X_75,Motion_image_Avg,Motion_image_Std,Motion_image_25P,Motion_image_75P,Motion_image_Peaks,Motion_image_0,Motion_image_25,Motion_image_50,Motion_image_75
Comedy,77,50,0.14435229067930488,0.2166271721958926,23.362831858407077,0.271779744346116,0.18780727630285152,0.1223205506391347,0.004129793510324484,0.28256047197639733,0.4636433520267657,0.03,0.37,0.028121927236971486,0.7226415094339623,0.16568396226415094,0.13016509433962264,0.11046383647798741,2.1842517207473,0.7567204902949495,1.72,2.49,0.029695181907571287,1.8202751572327047,2.0223427672955974,2.5084984276729565,2.3730660377358492,0.9017738446411057,1.398967740714441,0.13,0.9600000000000002,0.028908554572271386,0.9209591194968554,0.391312893081761,1.61685534591195,0.6688679245283019,2.7918800393313647,1.384970610880384,1.98,2.97,0.028515240904621434,2.745856918238994,2.267146226415094,3.4605267295597484,2.676155660377359,1.9282635201573293,0.4845388779543,1.61,2.14,0.028121927236971486,1.787570754716981,1.9239308176100627,1.989889937106918,2.002578616352201,0.5563716814159285,0.46787358956745556,0.19,0.8400000000000001,0.029498525073746312,0.5558569182389936,0.3893081761006289,0.5353616352201258,0.7419182389937108,0.36385447394296533,0.6056447449642571,0.02,0.41,0.028515240904621434,1.035746855345912,0.1762342767295598,0.1306053459119497,0.11093553459119498,0.2591465093411986,0.5147691835406261,0.0,0.26,0.022222222222222223,0.44514937106918234,0.13787735849056604,0.13947327044025157,0.31239779874213836,9.274513274336345,11.196219268521084,3.7,12.3,0.018289085545722714,9.040408805031447,18.819025157232705,2.605896226415094,6.593474842767296,-0.07197404129793519,0.08446860618858372,-0.108,-0.016,0.019862340216322518,-0.038757861635220124,-0.07379166666666667,-0.06033569182389937,-0.11474528301886794,0.0016300884955752204,0.04320323951846521,-0.022,0.025,0.029301868239921338,0.011879716981132075,-0.015441037735849058,0.0032366352201257855,0.0068081761006289305,730407.346577498,47529.64383627452,734973.25,745253.0,0.023013375295043274,737945.3639937107,706861.0597484277,736884.1352201258,735935.6800314465
Cartoon,89,100,0.4220383275261324,0.3948170731707317,22.631693041404727,0.10773899848254932,0.11294168653804465,0.16648601777585087,0.0,0.49090396704964073,0.804188181913401,0.07,0.47,0.02102753089096033,0.263370883882149,0.7584835355285962,0.49987001733102254,0.44042461005199307,1.0144591372209,0.47663376210699043,0.72,1.18,0.029265120312161285,0.9175129982668977,0.9222183708838824,1.0282755632582323,1.1850693240901216,0.7547409494905677,0.9624072944433655,0.19,0.93,0.029481898981140255,0.5650693240901213,0.5020623916811092,0.6448700173310226,1.3043760831889082,1.6539605462822418,1.3373284345645724,0.8500000000000001,1.9,0.02904834164318231,1.1672790294627382,1.185892547660312,1.6105632582322358,2.6454159445407273,0.9622696726642098,0.5565874012588425,0.67,1.01,0.02904834164318231,0.6764731369150779,0.7909185441941075,0.8666464471403813,1.5107019064124783,0.664107955777154,0.5983564969562044,0.22,0.92,0.027530890960329502,0.4836481802426344,0.8630762564991333,0.8448353552859619,0.46171577123050256,0.6389052677216562,0.8844030836167999,0.09,0.74,0.02037719488402341,0.3213951473136915,0.9129809358752166,0.6256239168110919,0.6937175043327556,0.2232863646217195,0.386398289405615,0.0,0.3,0.024062432256665944,0.2752512998266898,0.3081369150779896,0.1695580589254766,0.13899480069324088,-0.2507262085410809,6.025249525503466,-2.4,2.4,0.019726858877086494,-2.994627383015598,1.2782495667244367,0.8830155979202775,-0.16880415944540733,-0.09973227834381095,0.0913311293441847,-0.158,-0.032,0.02102753089096033,-0.08086395147313691,-0.15028162911611787,-0.10043934142114386,-0.06654766031195841,0.02071623672230661,0.038511280473853375,-0.005,0.045,0.03078257099501409,0.03100086655112652,0.026142114384748703,0.00912824956672444,0.01645320623916811,45215.19557675629,41108.81696481039,37338.75,50668.0,0.0186470078057242,38508.98873483536,46070.24263431542,46967.532928942805,49048.854419410745
Horror,70,80,0.17048883524441763,0.16807483403741702,19.430284857571213,0.1406296851574213,0.10674662668665667,0.002098950524737631,0.0,0.22802098950524566,0.23717565452845152,0.06,0.31,0.027286356821589204,0.40237410071942453,0.14320143884892086,0.13989208633093525,0.22603117505995202,1.8703058470764615,0.7808627901695548,1.31,2.33,0.03088455772113943,1.6007314148681056,1.3081294964028778,2.8024100719424463,1.7618225419664268,0.9243298350824626,1.1463562520539188,0.15,1.185,0.027286356821589204,1.1232254196642686,0.6177697841726619,1.2661870503597121,0.6877218225419663,2.7091664167916036,1.4040350500992567,1.71,3.4000000000000004,0.027886056971514243,3.3482973621103116,1.931822541966427,3.3631654676258993,2.1830575539568344,1.9630254872563722,1.0206791340431731,1.21,2.34,0.025787106446776613,2.7641966426858513,1.340251798561151,2.156630695443645,1.581726618705036,0.4673253373313332,0.4097576873351283,0.15,0.66,0.031484257871064465,0.3596642685851319,0.30426858513189453,0.8033812949640288,0.40065947242206235,0.39198200899549734,0.6602883336387656,0.07,0.35,0.027586206896551724,1.01689448441247,0.1787410071942446,0.14010791366906475,0.23110311750599521,0.1905187406296844,0.4135575108865124,0.0,0.17,0.025487256371814093,0.11287769784172663,0.17058752997601917,0.20648681055155874,0.2718345323741007,7.85616191904047,6.378806269819105,5.3,10.3,0.014992503748125937,11.062350119904076,4.845083932853716,9.498681055155874,5.9928057553956835,-0.008983808095951997,0.058821869531868395,-0.039,0.016,0.021289355322338832,0.03637889688249401,0.00451798561151079,-0.06130095923261391,-0.0155779376498801,0.01629355322338833,0.039198981764632795,-0.008,0.041,0.031484257871064465,0.028683453237410072,0.009592326139088728,0.005517985611510792,0.02126019184652278,115102.30713857229,42896.02723697988,108527.0,115973.0,0.01919616076784643,120502.07913669065,117419.9856115108,108945.81175059952,112845.07673860912
Documentry,70,80,0.3395472703062583,0.5230803373280071,18.68787276341948,0.24099845372211176,0.23547603269273248,0.011928429423459244,0.0008835873647006848,0.1150430748840285,0.11894454698974091,0.01,0.18,0.02960017671747294,0.14318021201413425,0.1221731448763251,0.044584805653710244,0.1498939929328622,1.8421426993594014,0.7209033489257193,1.3,2.27,0.0291583830351226,1.9187985865724382,1.834911660777385,2.427756183745583,1.1801060070671379,0.6081555113761882,0.6460782296065575,0.21,0.7,0.030041970399823283,0.8200000000000001,0.23696113074204947,0.42746466431095403,0.9470141342756183,2.2229003755246266,0.8437092234063385,1.62,2.6849999999999996,0.030925557764523968,2.1565459363957595,2.046713780918728,2.751148409893993,1.9294434628975266,1.6711089021426953,0.8005059206329825,1.05,2.11,0.0276121051468964,1.3283745583038868,1.7308127208480566,2.586457597173145,1.0316254416961133,0.454923790589791,0.49519885548677905,0.08,0.63,0.030704660923348795,0.8271378091872792,0.3305742049469965,0.484743816254417,0.17568021201413428,0.1232228849127448,0.14678652280243593,0.01,0.18,0.02960017671747294,0.1490547703180212,0.1221731448763251,0.040821554770318014,0.1804946996466431,0.21294455489286268,0.46218148055071984,0.0,0.19,0.027170311464546057,0.444469964664311,0.08174911660777386,0.09723498233215547,0.22813604240282687,3.5234813342169122,8.198932573548694,-1.0,8.2,0.01656726308813784,-5.285335689045937,3.554328621908127,6.920583038869259,8.882420494699648,-0.020708857963331172,0.06186000165226257,-0.045,0.018000000000000002,0.025182239893969515,-0.0410803886925795,0.013712014134275618,0.00017932862190812746,-0.055501766784452296,0.015917605478241764,0.04499297403501038,-0.014,0.047,0.02960017671747294,0.03966077738515901,0.009233215547703181,0.01853268551236749,-0.003929328621908126,70973.05589924878,44268.85089080892,59903.5,91988.5,0.017454706142288997,51719.06183745583,71142.94346289753,65796.98674911661,94901.09540636043
Adventure,91,100,0.4475215266464976,0.4316965324645101,30.84761463640574,0.23043075497915702,0.29759147753589626,0.11556276053728579,0.0,0.1759240389068996,0.31535958976359246,0.0,0.21,0.024548402037980546,0.15251851851851855,0.27727777777777773,0.0861851851851852,0.186037037037037,1.6575011579434895,0.851216755399705,1.07,2.2274999999999996,0.027559055118110236,1.5777129629629632,1.2506203703703704,1.5369351851851853,2.2564814814814813,0.9376493747105167,1.0458196609822532,0.24,1.3,0.03033811949976841,0.7044537037037039,1.41825,0.8513611111111111,0.7736296296296297,2.4396943029180176,1.360051743527772,1.54,2.8600000000000003,0.028022232515053265,2.2833888888888887,2.598148148148148,2.1473888888888886,2.718157407407407,1.653619731357108,0.9464407219751529,1.01,2.06,0.02616952292728115,1.7931944444444443,1.2890462962962963,1.518185185185185,2.004962962962963,0.75722556739231,0.8314230821367037,0.21,1.02,0.029180176007410838,0.39660185185185187,0.9265925925925925,0.7519259259259259,0.9510833333333334,0.2816628068550243,0.4675782141955156,0.01,0.26,0.02616952292728115,0.46468518518518526,0.3565277777777777,0.11900000000000001,0.18403703703703703,0.30554191755442217,0.552874452544459,0.0,0.37,0.02269569245020843,0.44975925925925925,0.23917592592592593,0.17660185185185187,0.35588888888888887,14.439462714219571,9.068834846578623,10.1,20.4,0.015979620194534506,11.203611111111112,17.764907407407406,15.741296296296298,12.974444444444444,-0.06832792959703575,0.12021831894238522,-0.125,-0.004,0.020842982862436313,-0.11868796296296295,-0.012851851851851857,-0.033558333333333336,-0.10788055555555555,-0.007241778601204268,0.040602331941381596,-0.031,0.02,0.03242241778601204,-0.0004712962962962962,-0.003943518518518521,-0.027962962962962967,0.003557407407407408,60369.04794996525,41571.704682921016,47925.0,66483.0,0.02246930738939078,65174.49351851852,63564.14074074074,63273.99444444444,49140.93796296296
Science-Fiction ,91,80,0.5936332918370977,0.40387693402098523,26.78951098511694,0.17434443656980864,0.23547129695251595,0.12119064493267187,0.002834868887313962,0.1676718639262923,0.19298223279547505,0.01,0.25,0.02799433026222537,0.13158640226628893,0.22440509915014165,0.17405099150141642,0.14003541076487253,1.726378454996458,1.0679706091357042,0.77,2.55,0.024627923458540042,2.3329178470254957,1.2483569405099149,1.29393059490085,2.022230878186969,0.776396172927007,0.7657362194984259,0.26,1.01,0.02923458540042523,0.809730878186969,0.9182223796033994,0.711501416430595,0.6627620396600566,2.298063430191357,1.176460519424392,1.4600000000000002,2.96,0.02639971651311127,2.54771954674221,2.2118696883852693,2.2456515580736545,2.177046742209632,1.6152746279234558,0.7760813284091302,0.98,2.09,0.025336640680368533,1.955970254957507,1.3895963172804533,1.474900849858357,1.6333923512747874,0.8160542168674713,0.7774307147825938,0.14,1.39,0.027639971651311126,1.2269475920679886,0.5967492917847025,0.5576983002832862,0.8781798866855522,0.3414883061658346,0.4815542976615996,0.02,0.37,0.026222537207654145,0.22766288951841362,0.5099716713881021,0.3958073654390935,0.23140934844192634,0.3191176470588214,0.5702319598351424,0.0,0.39,0.0203756201275691,0.4897379603399433,0.175771954674221,0.1290226628895184,0.48060198300283286,35.11855067328146,9.636708493247186,31.8,39.8,0.015946137491141033,44.76338526912181,34.69511331444759,32.861189801699716,27.97556657223796,-0.06303809355067357,0.1112808571616601,-0.11825,0.02,0.022147413182140325,-0.08673016997167139,-0.013833569405099154,-0.007844900849858361,-0.1434327195467422,-0.03697005669737774,0.041710724053626275,-0.055,-0.014,0.030120481927710843,-0.045516288951841365,-0.03631303116147309,-0.027739376770538247,-0.038135269121813024,324128.98724082933,192824.68942514437,96503.0,484884.0,0.01789828105617579,92248.08575478384,368982.1091424522,481908.26080793765,352440.4103472714
Science-Fiction ,44,86,0.1902224281742354,0.690917516218721,24.07193912842979,0.15794327876412267,0.21397279225270924,0.010375835831219737,0.006225501498731842,0.1135831219737146,0.2466805072702248,0.0,0.13,0.025824302513258013,0.1389769585253456,0.025870967741935483,0.02924423963133641,0.25986175115207366,1.7398754899700246,0.5926779811083983,1.38,1.98,0.03135808162324187,1.6611336405529953,1.5089677419354839,1.9091981566820277,1.8712073732718892,0.7533018215356231,0.8730488152655732,0.24,0.9,0.032049804011989855,1.1486728110599078,0.4181013824884792,0.5720829493087558,0.8713179723502305,2.2229536545999493,0.9648664257214332,1.61,2.55,0.029974636845745906,2.4173824884792627,1.830221198156682,2.3745437788018435,2.2578801843317975,1.527528245330874,0.5420531435404062,1.14,1.7599999999999998,0.03089693336407655,1.375179723502304,1.4003963133640551,1.968184331797235,1.3575207373271887,0.48553147336868785,0.45440129296109555,0.17,0.6799999999999999,0.029744062716163245,0.36917050691244235,0.4250230414746544,0.5168294930875575,0.6289953917050691,0.1371869956190905,0.3065243354241731,0.0,0.14,0.026516024902005993,0.1874562211981567,0.035935483870967753,0.030912442396313362,0.294,0.2032695411574809,0.4039370469436235,0.0,0.2,0.025824302513258013,0.18331797235023042,0.1787649769585254,0.12188940092165898,0.3282949308755761,8.503712243486316,6.576760954132664,5.0,12.5,0.017754207977864884,5.073179723502304,4.363870967741935,13.631981566820278,10.90405529953917,-0.010827991699331335,0.061537300964626285,-0.029,0.018000000000000002,0.02467143186534471,0.019201843317972346,-0.026859907834101384,0.007652534562211983,-0.043305069124423966,0.004689647221581731,0.04988044346724475,-0.018000000000000002,0.032,0.029052340327415264,0.018850691244239635,0.013177880184331798,-0.021664516129032255,0.008340092165898618,46748.5477398524,44702.41581788699,32855.75,44043.75,0.020525830258302583,72957.4866359447,32289.536405529954,39872.80737327189,41588.27004608295
Crime,59,80,0.218769422001243,0.44541122850631865,30.445544554455445,0.08312706270627063,0.125,0.11901815181518152,0.0,0.13521864686468424,0.17488052937132417,0.0,0.2,0.026196369636963698,0.3306018136850783,0.10281121187139325,0.06699093157460842,0.03975267930750206,1.918248762376238,0.6550765766138323,1.37,2.4,0.029496699669966996,1.3808079142621599,1.7710469909315747,2.19002473206925,2.3205688375927456,0.6443853135313573,0.5681934656140297,0.23,0.8999999999999999,0.030734323432343235,1.025704863973619,0.7355070074196208,0.3311953833470734,0.4813355317394889,2.506703795379535,0.8358611977797687,1.94,2.8800000000000003,0.030734323432343235,2.7234377576257214,2.506298433635614,2.2322671063478974,2.550090684253916,1.9054929867986783,0.6487240689475335,1.41,2.24,0.030734323432343235,1.805267930750206,1.7202885408079143,1.9355482275350369,2.151253091508656,0.5003919141914202,0.4683251669621393,0.11,0.8400000000000001,0.025783828382838284,0.17583676834295137,0.252209398186315,0.7403462489694972,0.830593569661995,0.2602207095709487,0.4809527508538792,0.0,0.24,0.026815181518151814,0.7357543281121187,0.1849629018961253,0.06929925803792251,0.049513602638087385,0.2988572607260716,0.5259412596753712,0.0,0.41,0.021864686468646866,0.2918549051937345,0.15690849134377574,0.22856553998351195,0.5158615004122011,12.510107260726077,5.332393671730974,10.2,15.4,0.019801980198019802,10.636191261335533,9.165622423742786,14.117971970321516,16.04583676834295,-0.05552062706270637,0.10841781457151074,-0.087,0.014,0.020008250825082508,-0.0016455070074196227,-0.020311624072547406,-0.0685482275350371,-0.13140313272877163,-0.006937087458745851,0.03390854035597241,-0.028,0.015,0.02990924092409241,0.006116240725474032,-0.006760923330585326,-0.010894476504534213,-0.01615828524319868,44205.442748091606,38469.83451334945,38575.5,44086.0,0.024757582009490405,53170.00412541254,42023.82920792079,38283.06435643564,43212.16584158416
Comedy,45,65,0.3233652312599681,0.3572567783094099,6.789755807027992,0.29263450466547547,0.20031764939448085,0.15624379591026405,0.01647806233869367,0.08009926543577507,0.2543175820878812,0.0,0.0,0.005360333531864205,0.11448412698412698,0.1220952380952381,0.08323809523809525,0.0,0.45236251737144834,0.44610018884055064,0.18,0.59,0.03057375421878102,0.3720079365079365,0.4877539682539682,0.5126349206349206,0.4331190476190476,0.7556859241612109,0.9654937329461094,0.1,1.1,0.02799285288862418,0.42914285714285716,0.3992539682539683,1.3351269841269844,0.8548968253968254,1.0461425451657762,1.0537470066866037,0.35,1.39,0.028985507246376812,1.004047619047619,0.7220873015873015,1.513111111111111,0.9399206349206349,0.59798689696248,0.7484233609602071,0.06,0.97,0.029184038117927337,0.48360317460317465,0.2488968253968254,0.9728650793650794,0.6831587301587302,0.6218602342664326,0.6350744781932549,0.1,0.87,0.029382568989477865,0.7450158730158729,0.939468253968254,0.42888095238095236,0.36842857142857144,0.6472523327377395,0.4553662414772376,0.33,0.88,0.02997816160412944,0.7075317460317461,0.5883650793650794,0.8170793650793651,0.4733571428571428,0.16063728409767622,0.30789603938976406,0.0,0.23,0.01846337105419893,0.21534126984126983,0.2724047619047619,0.09496825396825397,0.0593015873015873,30.464661504864065,7.639183896803884,24.9,34.7,0.023823704586063133,24.32515873015873,28.559761904761906,33.9831746031746,34.85087301587301,-0.09889438157633486,0.1278022836708209,-0.159,-0.032,0.020647210641254715,-0.09098253968253969,-0.1066095238095238,-0.062433333333333334,-0.1346563492063492,-0.03006511812586848,0.06681303659367004,-0.07400000000000001,0.018000000000000002,0.0273972602739726,0.01371746031746032,-0.028687301587301588,-0.036616666666666665,-0.0685484126984127,112737.6977760127,41185.73327581455,99797.0,126312.75,0.025416997617156472,101894.25793650794,108069.37936507937,120820.22936507936,119567.08333333333
Cartoon,46,80,0.20586333261478768,0.3451174822159948,5.793991416309012,0.14420600858369098,0.18562231759656653,0.5523605150214592,0.026394849785407726,0.0009678111587982834,0.011559407958783812,0.0,0.0,0.0012875536480686696,0.0038421955403087483,2.5728987993138936e-05,0.0,0.0,0.40843562231759356,0.3314194127520163,0.18000000000000002,0.5700000000000001,0.03347639484978541,0.6205917667238422,0.517778730703259,0.32510291595197255,0.16765866209262437,0.5081051502145905,0.6461081282149593,0.1,0.62,0.030472103004291845,1.2717581475128643,0.34496569468267585,0.17050600343053174,0.24281303602058318,0.8196802575107318,0.756476937140139,0.36,0.95,0.030257510729613735,1.7312435677530018,0.6704716981132075,0.4290566037735849,0.4438850771869639,0.3141523605150195,0.2525333126786584,0.14,0.42,0.03175965665236052,0.4182590051457976,0.2864408233276158,0.3136792452830189,0.23649228130360206,0.37971459227467413,0.41162416575433414,0.09,0.53,0.03197424892703862,0.4881303602058319,0.6177358490566037,0.3253001715265866,0.08521440823327617,0.08042489270386231,0.17686494928009291,0.0,0.04,0.015450643776824034,0.21470840480274445,0.1015694682675815,0.004982847341337908,5.145797598627787e-05,0.127534334763948,0.27396094146279704,0.0,0.14,0.02682403433476395,0.13836192109777015,0.14342195540308747,0.05657804459691252,0.17110634648370496,69.93266094420612,9.602516628846523,65.5,71.7,0.022317596566523604,76.2442538593482,70.18464837049743,65.1909090909091,67.69802744425385,-0.2026341201716735,0.06981543321148932,-0.228,-0.174,0.026609442060085836,-0.1729639794168096,-0.19407718696397944,-0.2212401372212693,-0.22100857632933107,-0.06499034334763941,0.049189002494444904,-0.09,-0.033,0.028969957081545063,-0.06504459691252146,-0.05632590051457976,-0.06279159519725558,-0.07550857632933106,126158.36467053015,36901.95182857066,117430.0,129045.5,0.021678471775059025,129174.87038626609,119752.39055793991,126095.03347639485,129160.5313304721
