,Classifier,RMSE_Avg,RMSE_Max,RMSE_Min,StD,Test_RMSE
4,LinearRegression_4,15.18327667629988,19.243755286054917,10.090002265550053,2.3812832638087147,14.633944372449792
9,LinearRegression_5,15.034841559617377,18.378174678962807,10.896034106628377,2.0131091664080185,14.636212134121315
14,LinearRegression_10,15.211519695819405,20.657498184165764,11.913369160457307,2.2050301575643076,14.79536674341128
10,MLPClassifier-adam_10,15.364460021828204,20.56056521852605,10.410015420383948,2.6748558107132943,14.99285544136654
0,MLPClassifier-adam_4,16.296470292256615,22.39595828198519,11.054886987924819,3.495421600571883,15.944596537076714
8,LinearDiscriminant_5,16.7074347062275,21.881258503207956,10.92558561600391,2.8916389237673408,16.10358335357062
2,"SVC(gamma=2, C=1)_4",16.470567795755624,21.339842756892303,12.010959907298702,2.7979709473144325,16.1301748187222
5,MLPClassifier-adam_5,16.393708069423365,22.307657406087454,11.173276388918243,3.4667868885001867,16.1301748187222
7,"SVC(gamma=2, C=1)_5",16.27693973414646,23.311393193706355,10.08124887835671,3.7901809154493877,16.1301748187222
12,"SVC(gamma=2, C=1)_10",16.512156189928337,20.500320921749903,11.4868345692385,2.3834511410350068,16.1301748187222
3,LinearDiscriminant_4,16.73829688331846,21.763078342628106,10.954451150103322,3.1865950988608596,16.211890599970037
13,LinearDiscriminant_10,16.82391090558281,23.54838244528642,10.46799633972142,2.7658491319710317,17.767680664354483
11,KNeighborsClassifier_10,21.72583106983558,25.59502418748407,18.24251829337744,2.3045222975309865,21.93478790950395
6,KNeighborsClassifier_5,22.45973677606825,30.466547659946468,17.193940180987266,3.040354719430844,21.97401062294143
1,KNeighborsClassifier_4,22.58233261406946,28.86538630117029,16.386772586127925,2.983117969899232,23.387691784015946
