,0
0,Rating
1,lean_forward
2,head_rotation
3,Happiness_25P
4,Happiness_Peaks
5,Happiness_30
6,Happiness_80
7,Sadness_Std
8,Sadness_70
9,Sadness_90
10,Surprise_Avg
11,Surprise_Std
12,Surprise_25P
13,Surprise_75P
14,Surprise_40
15,Surprise_50
16,Surprise_70
17,Surprise_80
18,Surprise_90
19,Fear_Std
20,Fear_75P
21,Fear_80
22,Fear_90
23,Anger_Std
24,Disgust_Avg
25,Disgust_Std
26,Disgust_Peaks
27,Disgust_0
28,Disgust_10
29,Disgust_50
30,Disgust_90
31,Contempt_Peaks
32,Blink_Avg
33,Blink_Std
34,Blink_25P
35,Blink_10
36,Blink_20
37,HeadPose_X_Avg
38,HeadPose_X_Std
39,HeadPose_X_0
40,HeadRotation_X_Avg
41,HeadRotation_X_25P
42,HeadRotation_X_75P
43,HeadRotation_X_0
44,HeadRotation_X_10
45,HeadRotation_X_20
46,HeadRotation_X_30
47,HeadRotation_X_40
48,HeadRotation_X_50
49,HeadRotation_X_60
50,HeadRotation_X_70
51,HeadRotation_X_80
52,HeadRotation_X_90
53,EyeAngel_X_Avg
54,EyeAngel_X_25P
55,EyeAngel_X_75P
56,EyeAngel_X_Peaks
57,EyeAngel_X_0
58,EyeAngel_X_10
59,EyeAngel_X_20
60,EyeAngel_X_30
61,EyeAngel_X_40
62,EyeAngel_X_60
63,EyeAngel_X_70
64,EyeAngel_X_80
65,Motion_image_Avg
66,Motion_image_25P
67,Motion_image_0
68,Motion_image_10
69,Motion_image_20
70,Motion_image_30
