,Classifier,RMSE_Avg,RMSE_Max,RMSE_Min,StD,Test_RMSE
10,LinearRegression_5,24.684400448169946,32.006444208615505,18.882251858032724,3.519130766057573,22.591853486167484
5,Optimized_model_4,24.720464901900243,32.867719416247645,19.497186400473257,3.7336900978495655,22.873461047434628
11,Optimized_model_5,24.750670561898044,32.09495944094635,15.816929472700288,4.016473994143209,22.59185348616749
4,LinearRegression_4,24.826288838021703,30.772901074364633,15.856782214920596,3.6744395197758424,22.873461047434628
16,LinearRegression_10,25.25807316218793,30.29658119951867,21.84489744932268,2.3469285014989487,23.985719585889843
17,Optimized_model_10,25.350431065219876,31.176085524837255,18.74355844701674,3.662799611239298,23.985719585889843
9,LinearDiscriminant_5,28.195117989225988,39.232051261103415,17.50384573128475,5.238869785658144,29.517818132470214
15,LinearDiscriminant_10,29.605411986374314,34.86373473969764,19.684511677966512,5.513588766578711,28.107644556947182
3,LinearDiscriminant_4,30.61512338513594,38.406249491456464,25.606249237246754,3.7742861358477406,28.915997659339382
13,KNeighborsClassifier_10,32.409018948468514,42.75932646803501,22.776303475322766,5.511108016459195,33.676566201308454
1,KNeighborsClassifier_4,33.01461095451745,38.181147180251145,25.031180555459223,4.048304072241779,33.434251993265924
2,"SVC(gamma=2, C=1)_4",33.68042492574762,40.6145104801038,25.624987804875147,5.209717505212958,31.12494023708166
7,KNeighborsClassifier_5,33.87451396345114,39.45529115340552,28.66077458827657,3.595092984546111,32.295387650438
8,"SVC(gamma=2, C=1)_5",33.90983206687116,39.496835316262995,27.26316195895113,3.427058933023932,31.332573445699584
14,"SVC(gamma=2, C=1)_10",34.975113370517015,42.73452936443784,22.195495038408133,6.090806312804943,31.678569191675088
6,MLPClassifier-adam_5,37.49089694750637,47.26944044517557,24.73863375370596,6.4847437120234215,35.580447635861105
12,MLPClassifier-adam_10,37.51663612007965,46.841007674899565,29.031150378648316,5.232386873413758,32.79735761714146
0,MLPClassifier-adam_4,38.5415445081847,47.32441230485593,33.53923076040952,3.8734675453339666,33.56597388985762
