,Classifier,RMSE_Avg,RMSE_Max,RMSE_Min,StD,Test_RMSE
16,LinearRegression_10,15.087619068181313,19.02738204271454,12.529196055547223,1.8186121268205429,13.840831175896643
17,Optimized_model_10,15.1539805414636,19.15546309905005,12.349204326103418,1.6227944393936975,13.840831175896643
4,LinearRegression_4,15.243107162877537,20.36169233359461,10.045869003586985,3.13022048216704,14.128257062224755
10,LinearRegression_5,15.252482053313022,19.934368841498177,10.066288995684433,2.56508501041816,14.21230113427164
5,Optimized_model_4,15.490319517740195,22.03927926869176,12.588217447321476,2.3726035052989047,14.128257062224755
11,Optimized_model_5,15.514927873501728,18.00930307445251,13.26832405989262,1.34747305909208,14.21230113427164
0,MLPClassifier-adam_4,16.53423917058776,22.97215706023272,13.331166490596388,2.328387092915923,16.006695027840248
12,MLPClassifier-adam_10,16.582367335414553,18.857767222430777,12.685424707119584,1.6809096878231422,16.1301748187222
6,MLPClassifier-adam_5,16.602295991073603,20.474374227311564,12.292899764310478,1.864407406416566,15.797076281629428
2,"SVC(gamma=2, C=1)_4",17.57162187387141,23.6203302263114,13.701094846763159,2.94993985851186,18.508470819154457
14,"SVC(gamma=2, C=1)_10",17.77801095350106,22.13504009483606,13.994504415882465,2.5025851192045847,18.04557721833406
8,"SVC(gamma=2, C=1)_5",17.871971382781002,23.249483038090577,14.154368719450325,2.706285504445535,18.327271725188364
3,LinearDiscriminant_4,19.62163038858763,25.53037406698147,15.953682960369997,2.543237179873577,19.897953950810408
9,LinearDiscriminant_5,20.15244767482588,27.80215818960823,12.959938271457933,3.416279930942469,19.28606701617468
15,LinearDiscriminant_10,20.289587139722368,24.71919217002169,14.930505684671232,2.583939695210812,20.06556712697112
7,KNeighborsClassifier_5,20.636541133079994,25.31481779511755,14.759612252567946,3.1481445453099597,21.87718243081387
13,KNeighborsClassifier_10,20.710429412434106,24.63331078032346,15.503101426687302,2.267438093892984,21.50784279250947
1,KNeighborsClassifier_4,21.381751953648877,25.754999514657346,17.003529045465825,2.6069152137472105,21.836513763266638
