,Classifier,MAE,MSE,RMSE
0,LinearRegression_10,11.335752385527481,191.56860763967242,13.840831175896643
17,Optimized_model_10,11.335752385527481,191.56860763967242,13.840831175896643
15,Optimized_model_4,11.4982012901724,199.60764761630364,14.128257062224755
1,LinearRegression_4,11.4982012901724,199.60764761630364,14.128257062224755
2,LinearRegression_5,11.544384714930153,201.98950353121893,14.21230113427164
16,Optimized_model_5,11.544384714930153,201.98950353121893,14.21230113427164
3,MLPClassifier-adam_5,11.706349206349206,249.54761904761904,15.797076281629428
4,MLPClassifier-adam_4,11.738095238095237,256.2142857142857,16.006695027840248
5,MLPClassifier-adam_10,11.817460317460318,260.1825396825397,16.1301748187222
6,"SVC(gamma=2, C=1)_10",13.547619047619047,325.64285714285717,18.04557721833406
7,"SVC(gamma=2, C=1)_5",13.587301587301587,335.8888888888889,18.327271725188364
8,"SVC(gamma=2, C=1)_4",13.817460317460318,342.56349206349205,18.508470819154457
9,LinearDiscriminant_5,14.444444444444445,371.95238095238096,19.28606701617468
10,LinearDiscriminant_4,14.880952380952381,395.92857142857144,19.897953950810408
11,LinearDiscriminant_10,15.38888888888889,402.62698412698415,20.06556712697112
12,KNeighborsClassifier_10,16.857142857142858,462.58730158730157,21.50784279250947
13,KNeighborsClassifier_4,17.547619047619047,476.8333333333333,21.836513763266638
14,KNeighborsClassifier_5,17.515873015873016,478.6111111111111,21.87718243081387
